,Unnamed: 0,aw_deep_link,product_name,aw_product_id,merchant_product_id,merchant_image_url,description,merchant_category,search_price,merchant_name,merchant_id,category_name,category_id,aw_image_url,currency,store_price,merchant_deep_link,display_price,rrp_price,in_stock,alternate_image,alternate_image_two,alternate_image_four,large_image,alternate_image_three,custom_1,Fashion:size,brand_name,brand_id,product_type
604,428842.0,https://www.awin1.com/pclick.php?p=20971333991&a=240379&m=5577,"Black Lightweight Knit Ruched Sleeve Crop Top, Black",20971333991.0,clu2679473,https://cdn-images.prettylittlething.com/a/a/7/2/aa72316dd9df1090f16a7a7e2857c8671976bf7a_CLU2679_1.JPG,Black Lightweight Knit Ruched Sleeve Crop Top Featuring a black lightweight knit material and long sleeves with a ruched detailing this crop top is perfect for your off duty wardrobe Team it with some sport stripe trousers and lace up trainers for an effortlessly cool look Length approx 40cm 15 5 Based on a sample size UK 8 Model wears size UK 8 EU 36 AUS 8 US 4Model Height n5ft 3,Women's Tops,15.0,Pretty Little Thing,5577.0,Women's Tops,204.0,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Acdn-images.prettylittlething.com%2Fa%2Fa%2F7%2F2%2Faa72316dd9df1090f16a7a7e2857c8671976bf7a_CLU2679_1.JPG&feedId=5577&k=c8f0c13855e2ce7dec3465252d6d55cbd8cf05f6,GBP,,https://www.prettylittlething.com/black-lightweight-knit-ruched-sleeve-crop-top.html?utm_source=awin&utm_medium=affiliate&utm_campaign=PLT&istCompanyId=3b233929-048d-4b79-a672-b37827e7282d&istItemId=xatlmpppxx&istBid=t,GBP15.00,,1.0,,,,,,5057657781368,14,PrettyLittleThing,0.0,
621,439955.0,https://www.awin1.com/pclick.php?p=21297777821&a=240379&m=6943,Ribbed Ruffle KnitTop,21297777821.0,2000212010033,http://www.forever21.com/images/default_330/00212010-03.jpg,"DetailsA ribbed knit top featuring a round neck, a front and back V-shaped ruffle design with contrast trim, a form-fitting silhouette, and long sleeves.Content + Care- 54% rayon, 26% polyester, 20% nylon- Hand wash cold- Made in ChinaSize + Fit- Model is 5'8%22 and wearing a Small- Full length: 21%22- Chest: 35%22- Waist: 22%22- Sleeve length: 25%22",Women's Tops,19.0,Forever 21,6943.0,Women's Tops,204.0,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=www.forever21.com%2Fimages%2Fdefault_330%2F00212010-03.jpg&feedId=15883&k=ef0ed35f1396c6e707918ca9acc6e69744e3b145,GBP,,http://www.forever21.com/UK/Product/Product.aspx?Br=LOVE21&Category=blogger_favourites&ProductID=2000212010&VariantID=03,GBP19.00,19.0,1.0,http://www.forever21.com/images/2_side_330/00212010-03.jpg,,,,,"<style> .d_wrapper {  padding: 5px 0;  font-family: arial, helvetica, san-serif;  font-size: 12px; } .d_wrapper h3 {  font-weight: bold;  text-transform: capitalize; } .d_content > p {  color: #888;  margin: .5em 0;} .d_content span {  display: inline-block;  width: 100%;  line-height: 16px;  padding: 5px 0; }</style><section class=""d_wrapper""><h3>Details</h3><div class=""d_content"">A ribbed knit top featuring a round neck, a front and back V-shaped ruffle design with contrast trim, a form-fitting silhouette, and long sleeves.</div></section><section class=""d_wrapper""><h3>Content + Care</h3><div class=""d_content""><p>- 54% rayon, 26% polyester, 20% nylon</p><p>- Hand wash cold</p><p>- Made in China</p></div></section><section class=""d_wrapper""><h3>Size + Fit</h3><div class=""d_content""><p>- Model is 5'8"" and wearing a Small</p><p>- Full length: 21""</p><p>- Chest: 35""</p><p>- Waist: 22""</p><p>- Sleeve length: 25""</p></div></section>",Large,LOVE21,0.0,
622,440106.0,https://www.awin1.com/pclick.php?p=21297778615&a=240379&m=6943,Plus Size Ribbed Knit Bodysuit,21297778615.0,2000161005034,http://www.forever21.com/images/default_330/00161005-03.jpg,"DetailsForever 21+ - A soft ribbed knit bodysuit featuring a V-neckline, long sleeves, and a dual snap-button closure.Content + Care- 93% rayon, 7% spandex- Hand wash cold- Made in VietnamSize + Fit- Model is 5'9%22 and wearing a Size 1X- Full length: 27%22- Chest: 34%22- Waist: 32%22- Sleeve length: 26%22",Women's Tops,12.0,Forever 21,6943.0,Women's Tops,204.0,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=www.forever21.com%2Fimages%2Fdefault_330%2F00161005-03.jpg&feedId=15883&k=889388265c683610ac051eef1bd247f2d77870d6,GBP,,http://www.forever21.com/UK/Product/Product.aspx?Br=PLUS&Category=plus_size-main&ProductID=2000161005&VariantID=03,GBP12.00,12.0,1.0,http://www.forever21.com/images/2_side_330/00161005-03.jpg,,,,,"<style> .d_wrapper {  padding: 5px 0;  font-family: arial, helvetica, san-serif;  font-size: 12px; } .d_wrapper h3 {  font-weight: bold;  text-transform: capitalize; } .d_content > p {  color: #888;  margin: .5em 0;} .d_content span {  display: inline-block;  width: 100%;  line-height: 16px;  padding: 5px 0; }</style><section class=""d_wrapper""><h3>Details</h3><div class=""d_content""><b>Forever 21+</b> - A soft ribbed knit bodysuit featuring a V-neckline, long sleeves, and a dual snap-button closure.</div></section><section class=""d_wrapper""><h3>Content + Care</h3><div class=""d_content""><p>- 93% rayon, 7% spandex</p><p>- Hand wash cold</p><p>- Made in Vietnam</p></div></section><section class=""d_wrapper""><h3>Size + Fit</h3><div class=""d_content""><p>- Model is 5'9"" and wearing a Size 1X</p><p>- Full length: 27""</p><p>- Chest: 34""</p><p>- Waist: 32""</p><p>- Sleeve length: 26""</p></div></section>",3X,FOREVER21 PLUS,0.0,
625,443257.0,https://www.awin1.com/pclick.php?p=14657801775&a=240379&m=2692,Phase Eight Cassidy Colour Block Knit Skirt,14657801775.0,80107305010,http://phaseeight.btxmedia.com/pws/client/images/catalogue/products/801073050/zoom/801073050_1.jpg,This colour block knit skirt has a thick waistband and stretch throughout for a comfortable fit.,Skirts,49.0,Phase Eight,2692.0,Women's Dresses & Skirts,198.0,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=phaseeight.btxmedia.com%2Fpws%2Fclient%2Fimages%2Fcatalogue%2Fproducts%2F801073050%2Fzoom%2F801073050_1.jpg&feedId=17627&k=029ba264c2832294a22f994185bc3f312e778163,GBP,49.0,http://www.phase-eight.com/pws/ProductDetails.ice?UniqueProductKey=801073050&redirect=true,GBP49,65.0,1.0,http://phaseeight.btxmedia.com/pws/client/images/catalogue/products/801073050/zoom/801073050_2.jpg,http://phaseeight.btxmedia.com/pws/client/images/catalogue/products/801073050/zoom/801073050_3.jpg,,,http://phaseeight.btxmedia.com/pws/client/images/catalogue/products/801073050/zoom/801073050_4.jpg,801073050,10,Phase Eight,0.0,
719,500230.0,https://www.awin1.com/pclick.php?p=6096256793&a=240379&m=2692,Phase Eight Aletta Cable Knit,6096256793.0,40209837004,http://phaseeight.btxmedia.com/pws/client/images/catalogue/products/402098370/zoom/402098370_1.jpg,The mixed cable and ribbed design gives this long sleeve jumper a wonderful textured finish. Wear over a blouse and with jeans for a stylish daytime look.,Knitwear (Jumpers & Cardigans),44.5,Phase Eight,2692.0,Women's Tops,204.0,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=phaseeight.btxmedia.com%2Fpws%2Fclient%2Fimages%2Fcatalogue%2Fproducts%2F402098370%2Fzoom%2F402098370_1.jpg&feedId=17627&k=d36a1df68a811a73120a81edc1feba0aaa6936fd,GBP,44.5,http://www.phase-eight.com/pws/ProductDetails.ice?UniqueProductKey=402098370&redirect=true,GBP44.5,89.0,1.0,http://phaseeight.btxmedia.com/pws/client/images/catalogue/products/402098370/zoom/402098370_2.jpg,http://phaseeight.btxmedia.com/pws/client/images/catalogue/products/402098370/zoom/402098370_3.jpg,,,http://phaseeight.btxmedia.com/pws/client/images/catalogue/products/402098370/zoom/402098370_4.jpg,402098370,L,Phase Eight,0.0,
748,518799.0,https://www.awin1.com/pclick.php?p=3749522061&a=240379&m=3768,Sigvaris Comfort Class 2 Thigh Compression Stockings with Knitted Grip Top Savannah MED Regular Normal Closed Toe,3749522061.0,SV-70103-CM,https://www.daylong.co.uk/media/catalog/product/s/i/sigvaris-comfort-thigh-stockings-with-grip-top-savannah-closed-toe-female-1.jpg,"Key FeaturesUnisex compression garmentsComfortable, easy to put on and get offSoft and smooth on the skinOffers all day comfortSizes available from XXS to XL PLUSAvailable in Open & Closed ToeClass 1 (18-21mmHg) & Class 2 (23-32mmHg)Note:Daylong recommends that you contact a nurse, GP or pharmacist to ensure that compression hosiery is appropriate for you. If so, you will then need to be measured in order to obtain the correct size which will ensure that the hosiery works correctly and feels comfortable.",Thigh Hold Up,76.99,Day Long,3768.0,Socks & Hosiery,161.0,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.daylong.co.uk%2Fmedia%2Fcatalog%2Fproduct%2Fs%2Fi%2Fsigvaris-comfort-thigh-stockings-with-grip-top-savannah-closed-toe-female-1.jpg&feedId=16181&k=f5e0c4119f4e580a98fb96b45a677f0aa46b60ff,GBP,,https://www.daylong.co.uk/sigvaris-comfort-class-2-thigh-compression-stockings-with-knitted-grip-top.html,GBP76.99,,1.0,,,,,,,,Sigvaris,0.0,
750,519369.0,https://www.awin1.com/pclick.php?p=21223518357&a=240379&m=2692,Phase Eight Cateline Cowl Swing Knit,21223518357.0,40243731001,http://phaseeight.btxmedia.com/pws/client/images/catalogue/products/402437310/zoom/402437310_1.jpg,This cosy knit is created in a ribbed stitch and has long sleeves and a thick cowl neck. Layer under coats and jackets with your favourite jeans and ankle boots.,Knitwear (Jumpers & Cardigans),59.0,Phase Eight,2692.0,Women's Tops,204.0,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=phaseeight.btxmedia.com%2Fpws%2Fclient%2Fimages%2Fcatalogue%2Fproducts%2F402437310%2Fzoom%2F402437310_1.jpg&feedId=17627&k=e52ba95c01cd4f5cc38385e18c4455a68b4a8b45,GBP,59.0,http://www.phase-eight.com/pws/ProductDetails.ice?UniqueProductKey=402437310&redirect=true,GBP59,79.0,1.0,http://phaseeight.btxmedia.com/pws/client/images/catalogue/products/402437310/zoom/402437310_2.jpg,http://phaseeight.btxmedia.com/pws/client/images/catalogue/products/402437310/zoom/402437310_3.jpg,,,http://phaseeight.btxmedia.com/pws/client/images/catalogue/products/402437310/zoom/402437310_4.jpg,402437310,XS,Phase Eight,0.0,
755,523984.0,https://www.awin1.com/pclick.php?p=15257354615&a=240379&m=2872,"Black Pearl Detail Knitted Dress, Black",15257354615.0,505689,https://media.missguided.com/s/missguided/K2223981_set/1/black-pearl-detail-knitted-dress?$intelligent-reach__product-image--std$,"Black knitted mini dress with square neck and pearl details on the front.    Regular Fit     78% Viscose, 22% Polyester    Approx length: 75 cm/29.5"" (Based on a UK size 8 sample)     Pilar wears a UK size 8 / EU size 36 / US size 4 and her height is 5'9""",Women's Dresses & Skirts,30.0,Missguided,2872.0,Women's Dresses & Skirts,198.0,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Amedia.missguided.com%2Fs%2Fmissguided%2FK2223981_set%2F1%2Fblack-pearl-detail-knitted-dress%3F%24intelligent-reach__product-image--std%24&feedId=2872&k=347e6e63b828930c10fe1926309486e74b8cc2cd,GBP,,https://www.missguided.co.uk/black-pearl-detail-knitted-dress-10053253?AWUK-_-!!!id!!!-_-datafeed-_-datafeed?istCompanyId=dd1d2f6c-ac6e-490e-a0ff-19cccd3bab7d&istItemId=xmqwpiarxx&istBid=t,GBP30.00,,1.0,,,,,,,8,Missguided,0.0,
763,528080.0,https://www.awin1.com/pclick.php?p=14306111019&a=240379&m=5577,"Stone Knitted Pointy Sock Boots, White",14306111019.0,clt96457869,https://cdn-images.prettylittlething.com/7/7/d/9/77d9a70feb14bd40e753a2ba4781b275262e4d2c_CLT9645_1.JPG,Stone Knitted Pointy Sock Boots We love these stone knitted pointy sock boots Team with a cute mini skirt or skinny jeans for the ultimate styleZip on4 Heel,Women's Outerwear,40.0,Pretty Little Thing,5577.0,Women's Outerwear,206.0,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Acdn-images.prettylittlething.com%2F7%2F7%2Fd%2F9%2F77d9a70feb14bd40e753a2ba4781b275262e4d2c_CLT9645_1.JPG&feedId=5577&k=ea50498894bc8b08cc1bdd7b16aaddea9756d862,GBP,,https://www.prettylittlething.com/stone-knitted-pointy-sock-boots.html?utm_source=awin&utm_medium=affiliate&utm_campaign=PLT&istCompanyId=3b233929-048d-4b79-a672-b37827e7282d&istItemId=xmrmilaxtt&istBid=t,GBP40.00,,0.0,,,,,,5057657220126,7,PrettyLittleThing,0.0,
828,572015.0,https://www.awin1.com/pclick.php?p=21260371365&a=240379&m=7138,Off The Shoulder Reindeer Knit Tunic Sweater,21260371365.0,234746506,https://gloimg.drlcdn.com/L/pdm-product-pic/Clothing/2017/10/31/goods-img/1510790583332317818.jpg,Off The Shoulder Reindeer Knit Tunic Sweater,Women,23.51,DressLily,7138.0,Women's Clothing,141.0,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Agloimg.drlcdn.com%2FL%2Fpdm-product-pic%2FClothing%2F2017%2F10%2F31%2Fgoods-img%2F1510790583332317818.jpg&feedId=14929&k=4643d0de46b64b946ca7128cc14778e75ca25fc8,USD,,https://www.dresslily.com/off-the-shoulder-reindeer-pattern-tunic-sweater-product2368517.html,USD23.51,,1.0,,,,,,2XL,,,0.0,
1044,708894.0,https://www.awin1.com/pclick.php?p=21365563741&a=240379&m=1134,Womens Black Sparkle Knitted T-Shirt- Black,21365563741.0,262017000925365,http://media.dorothyperkins.com/wcsstore/DorothyPerkins/images/catalog/DP55418501_Zoom_F_1.jpg,"The simple tee gets a glamorous makeover with this black shimmer knitted design. The T-shirt has a boat neck and short sleeves. Work it with a metallic mini skirt or slim fit trousers.Sparkle finishBoat neckShort sleevesHip lengthWearing length: 59.5cmFabric & Care: 69% Cotton, 16% Metallised Fibre, 15% Polyester. Machine washable.Model is 5'9 (175.2cm) and wears a size 8",Women's Tops,18.75,Dorothy Perkins,1134.0,Women's Tops,204.0,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=media.dorothyperkins.com%2Fwcsstore%2FDorothyPerkins%2Fimages%2Fcatalog%2FDP55418501_Zoom_F_1.jpg&feedId=19427&k=9d31ac3af85dcffd4969c5ce2139bc93e52e31de,GBP,,http://www.ist-track.com/ProcessClick.ashx?companyId=e0b51aa7-96c9-4550-a6f3-56b61a0b5995&itemId=wtxilxxltq&bid=t,GBP18.75,25.0,1.0,,,,,,,14,Dorothy Perkins,0.0,
1347,910785.0,https://www.awin1.com/pclick.php?p=17517345931&a=240379&m=5374,Golddigga Faux Stripe shirt Knit Sweater Ladies,17517345931.0,66944922470,https://www.sportsdirect.com/images/products/66944922_l.jpg,"Golddigga Faux Stripe shirt Knit Sweater Ladies The Ladies Golddigga Faux Stripe shirt Knit Sweater is perfect for adding to any casual look thanks to the faux striped shirt detail to the bottom while the crew neck collar and long sleeves provide a comfortable fit, completed with the Golddigga branding.   > Ladies sweater > Lightweight  > Breathable  > Faux shirt detail  > Ribbed trim to the collar and cuffs > Golddigga branding > 97% Polyester, 3% elastane  > Machine washable  > Keep away from fire  Navy 16 (XL)",Womens > Fashion > Jumpers,8.99,SportsDirect.com,5374.0,Women's Tops,204.0,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.sportsdirect.com%2Fimages%2Fproducts%2F66944922_l.jpg&feedId=17383&k=236b1b3eb62229c97428c7788ca52e09031816c1,GBP,11.99,https://www.sportsdirect.com/golddigga-faux-stripe-shirt-knit-sweater-ladies-669449?colcode=66944922,GBP8.99,39.99,1.0,,,,,,,16 (XL),Golddigga,6760.0,main
1403,949596.0,https://www.awin1.com/pclick.php?p=7094972159&a=240379&m=3100,"FitFlop UBERKNIT BALLER FLAT SHOES, Grey",7094972159.0,263605015,http://houseoffraser.scene7.com/is/image/HOF/I_5057137455123_50_20170509,UBERKNIT BALLER FLAT SHOESBallerina pumpsLow HeelFlat heelRound toeUpper - FabricClean with soft dry cloth Shop At House Of Fraser,Shoes & Boots > Shoes > Ladies Shoes,65.0,House of Fraser,3100.0,Women's Footwear,194.0,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=houseoffraser.scene7.com%2Fis%2Fimage%2FHOF%2FI_5057137455123_50_20170509&feedId=3100&k=e90fc24f3b62e620e228bab621cecf8b5500a28c,GBP,,https://www.houseoffraser.co.uk/shoes-and-boots/fitflop-uberknit-baller-flat-shoes/d801115.pd#263605015?cm_mmc=AWIN-_-Shoes+%26+Boots-_-Shoes-_-UBERKNIT+BALLER+FLAT+SHOES&istCompanyId=17910aed-1bae-4362-9580-b523eb87a91e&istItemId=xrmiqimprw&istBid=t,GBP65.00,,1.0,http://houseoffraser.scene7.com/is/image/HOF/I_5057137455123_50_20170509?qlt=65&wid=600&hei=600,,,,,5057137455147,"6,3,8,5,7,4",FitFlop,20099.0,
1416,958657.0,https://www.awin1.com/pclick.php?p=16833990445&a=240379&m=3100,"Gant Jaquard Knit Long Sleeve Dress, Black",16833990445.0,271835933,http://houseoffraser.scene7.com/is/image/HOF/I_270245509_00_20170419,Gant Jaquard Knit Long Sleeve DressFitted DressesCrew NeckPolyamide 100% Shop At House Of Fraser,Women > Dresses,175.0,House of Fraser,3100.0,Women's Dresses & Skirts,198.0,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=houseoffraser.scene7.com%2Fis%2Fimage%2FHOF%2FI_270245509_00_20170419&feedId=3100&k=f6fcc2bb0d03e9dbea399b2a3898690ab7a6feff,GBP,,https://www.houseoffraser.co.uk/women/gant-jaquard-knit-long-sleeve-dress/d805496.pd#271835933?cm_mmc=AWIN-_-Women-_-Dresses-_-Jaquard+Knit+Long+Sleeve+Dress&istCompanyId=17910aed-1bae-4362-9580-b523eb87a91e&istItemId=xmpxrliwlp&istBid=t,GBP175.00,,1.0,http://houseoffraser.scene7.com/is/image/HOF/I_270245509_00_20170419?qlt=65&wid=600&hei=600,,,,,7325701925173,"Large,XS,Small",Gant,6422.0,
1421,963175.0,https://www.awin1.com/pclick.php?p=3056684305&a=240379&m=3032,Snowflake Knit Boot Topper,3056684305.0,SO95202,http://products.drct2u.com/content/images/products//so/so952/d02so95251whuge.jpg,Snowflake knit boot toppers.,Shoe Decorations|Shoe Care|Womens Footwear|Womens|Ecomm,4.25,JD Williams,3032.0,Women's Footwear,194.0,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=products.drct2u.com%2Fcontent%2Fimages%2Fproducts%2F%2Fso%2Fso952%2Fd02so95251whuge.jpg&feedId=3032&k=403bcc8ebd51f9a8baef5fbe002793fdab05aaf0,GBP,,"http://www.jdwilliams.co.uk/shop/Snowflake-Knit-Boot-Topper/SO952/product/details/show.action?pdBoUid=7145&promo=4219&cm_mmc=AffiliateWindow-_-JDWilliams-_-Product%20Feeds-_-na#colour:Red,size:ONESIZE&CAWELAID=120121200002450679",GBP4.25,,1.0,http://products.drct2u.com/content/images/products//so/so952/d02so95251whuge.jpg,,,,,,,JD Williams,0.0,FEMALE
1458,984935.0,https://www.awin1.com/pclick.php?p=21353819747&a=240379&m=3100,"Oasis Fairisle knit, Green",21353819747.0,283298650,http://houseoffraser.scene7.com/is/image/HOF/I_5054413442051_50_20171107,"We`re all about the Fairisle knits this season and this one is top of our list! The colour is incredible and it really adds a pop of colour to any outfit. Effortless and stylish is just how we like it.TopsMain : Acrylic 82%, Polyester 18%Machine wash according to care label Shop At House Of Fraser",Women > Tops,40.0,House of Fraser,3100.0,Women's Tops,204.0,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=houseoffraser.scene7.com%2Fis%2Fimage%2FHOF%2FI_5054413442051_50_20171107&feedId=3100&k=ee80d3bf78e09c7bb7e65c84dc37fae7ba05460a,GBP,,https://www.houseoffraser.co.uk/women/oasis-fairisle-knit/d864829.pd#283298650?cm_mmc=AWIN-_-Women-_-Tops-_-Fairisle+knit&istCompanyId=17910aed-1bae-4362-9580-b523eb87a91e&istItemId=wtiiiipqxi&istBid=t,GBP40.00,,1.0,http://houseoffraser.scene7.com/is/image/HOF/I_5054413442051_50_20171107?qlt=65&wid=600&hei=600,,,,,5054413442068,"Medium,Extra Large,XS,Small",Oasis,11882.0,
1665,1124205.0,https://www.awin1.com/pclick.php?p=21302493247&a=240379&m=6009,"Womens Knitted Logo Sweatshirt by Ivy Park - Grey, Grey",21302493247.0,602017001167956,http://media.topshop.com/wcsstore/TopShop/images/catalog/TS29S15MGRY_Zoom_F_1.jpg,"Do casual dressing the stylish way with this simple but chic grey sweatshirt by Ivy Park. Featuring knitted logo, wear it with leggings or joggers for post-gym perfection. 60% Polyester, 40% Elastane. Machine wash.",Women's Outerwear,50.0,Topshop,6009.0,Women's Outerwear,206.0,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=media.topshop.com%2Fwcsstore%2FTopShop%2Fimages%2Fcatalog%2FTS29S15MGRY_Zoom_F_1.jpg&feedId=6009&k=37c8902c7a2774df4f0e9b57428701676c1957b3,GBP,,http://www.ist-track.com/ProcessClick.ashx?companyId=38aa0d7f-6514-4cb3-bbdc-df0d32d48b7f&itemId=xaawqqllpx&bid=t,GBP50.00,50.0,0.0,http://media.topshop.com/wcsstore/TopShop/images/catalog/TS29S15MGRY_Small_F_1.jpg,,,,,,XXS,Ivy Park,0.0,Tops > Sweats > Knitted Logo Sweatshirt by Ivy Park
1712,1150502.0,https://www.awin1.com/pclick.php?p=3682857891&a=240379&m=3100,"Sabbot Cable Stripe Knit Beanie, White",3682857891.0,248898392,http://houseoffraser.scene7.com/is/image/HOF/I_8592953107919_00_20160510,Sabbot Cable Stripe Knit BeanieBeanieWomen100% Acrylic FleeceHand wash onlyOther Shop At House Of Fraser,Accessories > Hats & Hair Accessories > Ladies' Hats,29.95,House of Fraser,3100.0,Women's Accessories,149.0,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=houseoffraser.scene7.com%2Fis%2Fimage%2FHOF%2FI_8592953107919_00_20160510&feedId=3100&k=f871fd731a79eae5bc495973a684b67b0eb06271,GBP,,https://www.houseoffraser.co.uk/accessories/sabbot-cable-stripe-knit-beanie/d704720.pd#248898392?cm_mmc=AWIN-_-Accessories-_-Hats+%26+Hair+Accessories-_-Cable+Stripe+Knit+Beanie&istCompanyId=17910aed-1bae-4362-9580-b523eb87a91e&istItemId=xwxxtilwxa&istBid=t,GBP29.95,,1.0,http://houseoffraser.scene7.com/is/image/HOF/I_8592953107919_00_20160510?qlt=65&wid=600&hei=600,,,,,8592953107919,One Size,Sabbot,0.0,
1795,1201835.0,https://www.awin1.com/pclick.php?p=21351308255&a=240379&m=5473,Damart Knitted Waistband Trousers,21351308255.0,149620940,http://www.damart.co.uk/static/10/18/14962-01030-F-1-Medium.jpg,"Knitted Waistband Trousers,Lilac Plain,24 27""",READY TO WEAR > WOMEN > Small items bottoms > Trousers W,13.0,Damart,5473.0,Women's Trousers,201.0,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=www.damart.co.uk%2Fstatic%2F10%2F18%2F14962-01030-F-1-Medium.jpg&feedId=5473&k=5337e238bb8af9c0663715ae16544b9460647ecc,GBP,,http://www.damart.co.uk/F-10058-trousers-w/P-331420-knitted-waistband-trousers?dfw_tracker=30729-14962,GBP13.00,,0.0,,,,,,,,Damart,0.0,
1805,1209336.0,https://www.awin1.com/pclick.php?p=21351334733&a=240379&m=5473,Damart Knitted Jacket,21351334733.0,435300103,http://www.damart.co.uk/static/05/23/43530-06051-F-1-Medium.jpg,"Knitted Jacket,Indigo Marble,18/20",READY TO WEAR > WOMEN > Small Items Top > Cardigans W,35.0,Damart,5473.0,Women's Tops,204.0,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=www.damart.co.uk%2Fstatic%2F05%2F23%2F43530-06051-F-1-Medium.jpg&feedId=5473&k=74804397bf6df2dc2cded42028794c105e4abeb8,GBP,,http://www.damart.co.uk/F-168837-cardigans-w/P-347015-knitted-jacket?dfw_tracker=30729-43530,GBP35.00,,1.0,,,,,,,,Damart,0.0,
1854,1243560.0,https://www.awin1.com/pclick.php?p=21346633423&a=240379&m=5678,Ivyrevel Jacquard Knitted Bodycon Mini Dress - Black/gold,21346633423.0,6762669,http://images.asos-media.com/inv/media/5/5/8/3/8883855/blackgold/image1xxl.jpg,"Bodycon dress by Ivyrevel, Stretch knitted fabric, Metallic thread detailing, Crew neck, Long sleeves, Close-cut bodycon fit. Inspired by urban contrasts, Ivyrevel combines bold aesthetics with feminine silhouettes across its contemporary collection. Putting an individual stamp on its range of clothing and footwear, it gives your going-out wardrobe an update with its dresses, heels and jumpsuits.",Women's Dresses & Skirts,75.0,ASOS,5678.0,Women's Dresses & Skirts,198.0,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=images.asos-media.com%2Finv%2Fmedia%2F5%2F5%2F8%2F3%2F8883855%2Fblackgold%2Fimage1xxl.jpg&feedId=5678&k=c2059fb81c8c9d813931fe485ab24490accbb470,GBP,,http://www.asos.com/ivyrevel/ivyrevel-jacquard-knitted-bodycon-mini-dress/prd/8883855?&istCompanyId=6f061ed0-7427-4b6c-bb90-987c0bd08468&istItemId=wtwpwxirii&istBid=t,GBP75.00,75.0,1.0,http://images.asos-media.com/inv/media/5/5/8/3/8883855/blackgold/image1xl.jpg,,,,,FEMALE > Shop by Product > Dresses > Party Dresses,"M,S,XS,L",Ivyrevel,0.0,
