,aw_deep_link,product_name,aw_product_id,merchant_product_id,merchant_image_url,description,merchant_category,search_price,merchant_name,merchant_id,category_name,category_id,aw_image_url,currency,store_price,merchant_deep_link,display_price,rrp_price,in_stock,alternate_image,alternate_image_two,alternate_image_four,large_image,alternate_image_three,custom_1,Fashion:size,brand_name,brand_id,product_type
1140034,https://www.awin1.com/pclick.php?p=6999987181&a=240379&m=6009,"Womens Lace-Up Bralet - Light Grey, Light Grey",6999987181,602017001103453,http://media.topshop.com/wcsstore/TopShop/images/catalog/TS09C03LGYM_Zoom_F_1.jpg,"Dare to bare this season in this crop bralet with front lace-up detail. Team with a floaty high-waisted skirt and wedges for a pretty and feminine look. 74% Viscose, 22% Polyamide, 4% Elastane. Machine wash.",Women's Outerwear,6.0,Topshop,6009,Women's Outerwear,206,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=media.topshop.com%2Fwcsstore%2FTopShop%2Fimages%2Fcatalog%2FTS09C03LGYM_Zoom_F_1.jpg&feedId=6009&k=f409ddf39cc36b24da21465070ffd0bd85033ea8,GBP,,http://www.ist-track.com/ProcessClick.ashx?companyId=38aa0d7f-6514-4cb3-bbdc-df0d32d48b7f&itemId=xrlqpmalll&bid=t,GBP6.00,14.0,1,http://media.topshop.com/wcsstore/TopShop/images/catalog/TS09C03LGYM_Small_F_1.jpg,,,,,,10,Topshop,16578,Tops > Bralets > Lace-Up Bralet
1140061,https://www.awin1.com/pclick.php?p=8435576989&a=240379&m=6009,"Womens MATERNITY Mini Ribbed Swing Dress - Black, Black",8435576989,602017001105829,http://media.topshop.com/wcsstore/TopShop/images/catalog/TS44D24MBLK_Zoom_F_1.jpg,"Loose yet flattering, this black swing dress is perfect for achieving style and comfort during your pregnancy. This sleeveless number features ribbed fabric, a V-neckline and a stylish strap design on the back. Team with strappy sandals and a hat for sunny days. 100% Polyester. Machine wash.",Women's Outerwear,10.0,Topshop,6009,Women's Outerwear,206,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=media.topshop.com%2Fwcsstore%2FTopShop%2Fimages%2Fcatalog%2FTS44D24MBLK_Zoom_F_1.jpg&feedId=6009&k=ad3bd7baf56306ed5d0d2e32d20e1428d73fc46d,GBP,,http://www.ist-track.com/ProcessClick.ashx?companyId=38aa0d7f-6514-4cb3-bbdc-df0d32d48b7f&itemId=xlttlxqlwm&bid=t,GBP10.00,18.0,0,http://media.topshop.com/wcsstore/TopShop/images/catalog/TS44D24MBLK_Small_F_1.jpg,,,,,,18,Topshop,16578,Dresses > Skater Dresses > MATERNITY Mini Ribbed Swing Dress
1140695,https://www.awin1.com/pclick.php?p=16231988621&a=240379&m=6009,"Womens Floral Embroidery T-Shirt - Black, Black",16231988621,602017001137634,http://media.topshop.com/wcsstore/TopShop/images/catalog/TS09D14MBLK_Zoom_F_1.jpg,Give your basics a pretty update with this floral embroidered t-shirt. Wear it tucked into dark denim jeans for a cute daytime look. 100% Cotton. Machine wash.,Women's Outerwear,12.0,Topshop,6009,Women's Outerwear,206,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=media.topshop.com%2Fwcsstore%2FTopShop%2Fimages%2Fcatalog%2FTS09D14MBLK_Zoom_F_1.jpg&feedId=6009&k=fb341b99b2ebacb2e78f054fe56c71a23610a8a7,GBP,,http://www.ist-track.com/ProcessClick.ashx?companyId=38aa0d7f-6514-4cb3-bbdc-df0d32d48b7f&itemId=xmaartrxqm&bid=t,GBP12.00,18.0,0,http://media.topshop.com/wcsstore/TopShop/images/catalog/TS09D14MBLK_Small_F_1.jpg,,,,,,16,Topshop,16578,Tops > T-Shirts > Floral Embroidery T-Shirt
1140844,https://www.awin1.com/pclick.php?p=17562219751&a=240379&m=6009,"Womens PETITE Lattice Detail Crop Top - Grey, Grey",17562219751,602017001143912,http://media.topshop.com/wcsstore/TopShop/images/catalog/TS26G13MGRY_Zoom_F_1.jpg,"Simple but stylish, this PETITE strappy style grey crop top with lattice detailing is versatile and on-trend. We've styled it with a pair of sports chic joggers for a clean and contemporary look. 85% Cotton, 15% Polyester. Machine wash.",Women's Outerwear,6.0,Topshop,6009,Women's Outerwear,206,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=media.topshop.com%2Fwcsstore%2FTopShop%2Fimages%2Fcatalog%2FTS26G13MGRY_Zoom_F_1.jpg&feedId=6009&k=444a345c33e248b117539190514d0f9c1ffbad5e,GBP,,http://www.ist-track.com/ProcessClick.ashx?companyId=38aa0d7f-6514-4cb3-bbdc-df0d32d48b7f&itemId=xqplrpqrpp&bid=t,GBP6.00,6.0,1,http://media.topshop.com/wcsstore/TopShop/images/catalog/TS26G13MGRY_Small_F_1.jpg,,,,,,16,Topshop,16578,Tops > Camis > PETITE Lattice Detail Crop Top
1141290,https://www.awin1.com/pclick.php?p=21254296501&a=240379&m=6009,"Womens CARAMEL Velvet Trainers - Burgundy, Burgundy",21254296501,602017001162795,http://media.topshop.com/wcsstore/TopShop/images/catalog/TS42C35MBRG_Zoom_F_1.jpg,"Trainers get a luxe update with our chic velvet pair. In rich burgundy, pair these with on-trend jeans or a leather statement skirt for day or night. 100% Textile. Specialist clean only.",Women's Outerwear,26.0,Topshop,6009,Women's Outerwear,206,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=media.topshop.com%2Fwcsstore%2FTopShop%2Fimages%2Fcatalog%2FTS42C35MBRG_Zoom_F_1.jpg&feedId=6009&k=7caa2c176ce16e5def966fe7dfb292160990c79d,GBP,,http://www.ist-track.com/ProcessClick.ashx?companyId=38aa0d7f-6514-4cb3-bbdc-df0d32d48b7f&itemId=xapqxlpmaa&bid=t,GBP26.00,26.0,0,http://media.topshop.com/wcsstore/TopShop/images/catalog/TS42C35MBRG_Small_F_1.jpg,,,,,,42,Topshop,16578,Shoes > Trainers > CARAMEL Velvet Trainers
1141596,https://www.awin1.com/pclick.php?p=5999196113&a=240379&m=6009,"Womens Triangle Bra - Teal, Teal",5999196113,602017001096657,http://media.topshop.com/wcsstore/TopShop/images/catalog/TS43T74LTEA_Zoom_F_1.jpg,"Teal triangle bra with geometric lace. 87% Nylon, 13% Elastane. Machine wash.",Women's Outerwear,16.0,Topshop,6009,Women's Outerwear,206,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=media.topshop.com%2Fwcsstore%2FTopShop%2Fimages%2Fcatalog%2FTS43T74LTEA_Zoom_F_1.jpg&feedId=6009&k=fc660b4d747336239e9c1608384a96b64aa380fb,GBP,,http://www.ist-track.com/ProcessClick.ashx?companyId=38aa0d7f-6514-4cb3-bbdc-df0d32d48b7f&itemId=xrpiiwamww&bid=t,GBP16.00,16.0,0,http://media.topshop.com/wcsstore/TopShop/images/catalog/TS43T74LTEA_Small_F_1.jpg,,,,,,8,Topshop,16578,Lingerie > Triangle Bras > Triangle Bra
1143553,https://www.awin1.com/pclick.php?p=3406085069&a=240379&m=3090,Love Diamond 18-Carat White Gold 50 Point Princess Cut Diamond Half Eternity Ring,3406085069,16108542,https://media.very.co.uk/i/very/4NERL_SQ1_0000000099_N-A_SLf1?$266x354_standard$&,"Love DIAMOND 18CT WHITE GOLD 50 POINT PRINCESS CUT DIAMOND HALF ETERNITY RING This 18 Carat White Gold Princess Cut Diamond Half Eternity Ring makes a wonderful gift to show your love to your special someone. The clean 18 carat white gold band creates a modern, fresh appeal, with a polished finish for complete elegance. The striking band of diamonds across the top of the band adds plenty of sparkle, with a channel settings that is perfectly in keeping with the sophisticated look. Eternity rings traditionally symbolise a lifelong commitment, making this piece the perfect present for a special birthday or anniversary. Useful info: 18 carat white gold 50 point Princess cut diamonds (100 points = one carat) Diameter: 1.9 cm (approximately) Available in sixes K-R 18 Carat White Gold Princess Cut Diamond Half Eternity Ring",Jewellery,789.0,very.co.uk,3090,Women's Jewellery,546,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Amedia.very.co.uk%2Fi%2Fvery%2F4NERL_SQ1_0000000099_N-A_SLf1%3F%24266x354_standard%24%26&feedId=3090&k=df3c63fd44361213e25eb77420aac14bebd5c358,GBP,899.0,http://www.very.co.uk/love-diamond-18-carat-white-gold-50-point-princess-cut-diamond-half-eternity-ring/1438668462.prd,GBP789.00,899.0,1,,,,,,https://media.very.co.uk/i/very/4NERL_SQ1_0000000099_N-A_SLf1?$266x354_standard$&,"k,l,m,n,o,p,q,r",Love DIAMOND,0,Gifts & Jewellery -> Rings
1143783,https://www.awin1.com/pclick.php?p=3834222757&a=240379&m=3090,Love Diamond 9Ct White Gold 50 Point Total Diamond Solitaire Ring With Diamond Channel Set Shoulders,3834222757,19844478,https://media.very.co.uk/i/very/LCU6F_SQ1_0000000099_N_A_SLa?$266x354_standard$&,9ct white gold 50 point total diamond solitaire ring with diamond channel set shoulders Depth: 2 MM Height: 23 MM Width: 20 MM Fashion Jewellery Type: Rings Metal Type: White gold Ring Type: Diamond Stone: Diamond Stone Colour: White Stone Type: Diamond,Jewellery,599.0,very.co.uk,3090,Women's Jewellery,546,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Amedia.very.co.uk%2Fi%2Fvery%2FLCU6F_SQ1_0000000099_N_A_SLa%3F%24266x354_standard%24%26&feedId=3090&k=7b1796219ddd9aebd1d8348df9b44c7b7d6a41d9,GBP,779.0,http://www.very.co.uk/love-diamond-9ct-white-gold-50-point-total-diamond-solitaire-ring-with-diamond-channel-set-shoulders/1600156078.prd,GBP599.00,779.0,1,,,,,,https://media.very.co.uk/i/very/LCU6F_SQ1_0000000099_N_A_SLa?$266x354_standard$&,"I,J,K,L,M,N,O,P,Q,R,S,T,U,V",Love DIAMOND,0,Gifts & Jewellery -> Rings
1144014,https://www.awin1.com/pclick.php?p=3545750725&a=240379&m=3090,"Links Of London Sterling Silver Timeless Bracelet  **Add Item Lxv4L To Basket To Receive Free Bracelet With Purchase, For Limited Time Only**",3545750725,18618132,https://media.very.co.uk/i/very/K99PH_SQ1_0000000088_NO_COLOR_SLf?$266x354_standard$&,"Adorn your wrist with this elegant Links Of London Sterling Silver Timeless Bracelet. **For a limited time only 27/11/2017 &ndash; 23/12/2017. Receive a FREE Links Of London Sterling Silver Shooting Star Charm Bracelet when you purchase this item. To receive the offer you must add the bracelet to your basket, by searching for item number LXV4L. While stocks last. Cannot be combined with any other offer.** It features a single, intricate charm set on a delicate, sterling silver chain. Perfect for daytime or evening wear, this bracelet also boasts an adjustable design, to help you find your perfect fit.&nbsp;It would make a truly special gift for a woman who loves simple, contemporary jewellery. Depth: 1.4 MM Height: 200 MM Width: 19 MM Fashion Jewellery Type: Bracelets Metal Type: Silver",Jewellery,109.0,very.co.uk,3090,Women's Jewellery,546,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Amedia.very.co.uk%2Fi%2Fvery%2FK99PH_SQ1_0000000088_NO_COLOR_SLf%3F%24266x354_standard%24%26&feedId=3090&k=8d69839272599568a729e96c0dfe5346c10f89fd,GBP,109.0,http://www.very.co.uk/links-of-london-sterling-silver-timeless-braceletnbsp-add-item-lxv4l-to-basket-to-receive-free-bracelet-with-purchase-for-limited-time-only/1600076953.prd,GBP109.00,109.0,1,,,,,,https://media.very.co.uk/i/very/K99PH_SQ1_0000000088_NO_COLOR_SLf?$266x354_standard$&,,Links of London,9618,Gifts & Jewellery -> Bracelets
1146390,https://www.awin1.com/pclick.php?p=13996991771&a=240379&m=6009,"Womens Pleated Front Trousers by Boutique - Grey, Grey",13996991771,602017001127238,http://media.topshop.com/wcsstore/TopShop/images/catalog/TS25S14MGRY_Zoom_F_1.jpg,"Get modern with these minimal, versatile trousers. Featuring a pleated front and peg shape, these trousers will make a chic addition to your work or play wardrobe. Made in Britain. 100% Wool. Machine wash.",Women's Outerwear,85.0,Topshop,6009,Women's Outerwear,206,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=media.topshop.com%2Fwcsstore%2FTopShop%2Fimages%2Fcatalog%2FTS25S14MGRY_Zoom_F_1.jpg&feedId=6009&k=72ef89ffadf23a40f0de82d907a5b1eb75e4c287,GBP,,http://www.ist-track.com/ProcessClick.ashx?companyId=38aa0d7f-6514-4cb3-bbdc-df0d32d48b7f&itemId=xmpamtwxml&bid=t,GBP85.00,85.0,1,http://media.topshop.com/wcsstore/TopShop/images/catalog/TS25S14MGRY_Small_F_1.jpg,,,,,,10,Topshop,16578,Trousers & Leggings > Tapered & Peg Trousers > Pleated Front Trousers by Boutique
